label,total,exist_total,count,rate
Howl,100,84,49,0.583
Horse,100,84,34,0.405
Pig,100,57,26,0.456
Goat,100,79,30,0.38
Sheep,100,90,38,0.422
Fowl,100,87,53,0.609
Turkey,100,96,51,0.531
Mouse,100,87,0,0.0
Frog,100,76,56,0.737
Owl,100,86,23,0.267
Bird,100,94,52,0.553
Squawk,100,30,0,0.0
Animal,100,43,39,0.907
Meow,100,94,37,0.394
"Chicken, rooster",100,79,64,0.81
Gobble,100,98,42,0.429
Wild animals,100,65,27,0.415
Roar,100,82,59,0.72
Snake,100,64,20,0.312
Mosquito,100,82,27,0.329
Buzz,100,94,6,0.064
Insect,100,85,45,0.529
Purr,100,91,62,0.681
